#RRF 1 1 20150807-CVS
#date 2015-08-07
#title "Neat POPC bilayer, D2O"
#instrument CG-1
#monitor 1.
#temperature 0.00000
#field 0.00000
#wavelength 5.0000
#spec nt079_45999.cgd nt079_46000.cgd nt079_46003.cgd nt079_46006.cgd nt079_46010.cgd nt079_46013.cgd nt079_46016.cgd nt079_46031.cgd nt079_46032.cgd nt079_46035.cgd nt079_46038.cgd nt079_46042.cgd nt079_46045.cgd nt079_46048.cgd
#back nt079_46001.cgd nt079_46004.cgd nt079_46007.cgd nt079_46011.cgd nt079_46014.cgd nt079_46017.cgd nt079_46033.cgd nt079_46036.cgd nt079_46039.cgd nt079_46043.cgd nt079_46046.cgd nt079_46049.cgd
#back nt079_46002.cgd nt079_46005.cgd nt079_46008.cgd nt079_46012.cgd nt079_46015.cgd nt079_46018.cgd nt079_46034.cgd nt079_46037.cgd nt079_46040.cgd nt079_46044.cgd nt079_46047.cgd nt079_46050.cgd
#slit slit001_45905.cgd*1.0(0.02) slit001_45906.cgd*1.0(0.02) slit001_45907.cgd*9.7(0.02) slit001_45908.cgd*9.7(0.02) slit001_45909.cgd*9.7(0.02) slit001_45910.cgd*90(0.02) slit001_45911.cgd*90(0.02) slit001_45912.cgd*90(0.02) slit001_45913.cgd*90(0.02)
#transmission coefficient 0.99000(0.020000)
#columns Qz R dR
0.00877296400455 1.00066058203 0.0359394877263
0.0100889020304 0.997701694172 0.0347744272213
0.0114048366367 0.992408942035 0.0333968327222
0.0127207687699 1.01722577235 0.0343835709951
0.0140366974157 0.926524160067 0.0301029089224
0.0153526222132 0.101116427949 0.00346774102388
0.0166685428017 0.0478906723594 0.00169912956826
0.0179844588204 0.044348395391 0.00155906078192
0.0193003699086 0.0424984294756 0.00147980448983
0.0206162757055 0.040418777208 0.00137303714007
0.0219321758503 0.0382513532258 0.00104498593636
0.0241253296541 0.0321877939657 0.000832559680483
0.0263184650854 0.0245144371861 0.000633749788889
0.0285115778596 0.0173161928041 0.000451763281114
0.0307046715354 0.01177214663 0.00031663167862
0.0328977418282 0.00751648655516 0.000211720131388
0.035090787068 0.00494047872403 0.000147641915473
0.0372838055846 0.00324122171904 0.000103945248394
0.0394767930937 0.00286483884251 9.16958239641e-05
0.0416697531538 0.00261657123213 8.35287455015e-05
0.0438626814806 0.00263010014796 7.59446303435e-05
0.0473712976753 0.00261756872035 7.34697307801e-05
0.0508798162891 0.0023793535567 6.58074084771e-05
0.0543882409382 0.00190493820737 5.34678432474e-05
0.0578965595545 0.00140527710759 4.10230337427e-05
0.0614047600708 0.00107557634445 3.25751916053e-05
0.064912846103 0.000856567489862 2.67973830546e-05
0.068420800357 0.000697963965762 2.23979779781e-05
0.0719286264483 0.000646909905095 2.06131026281e-05
0.075436312311 0.000524859023437 1.73172683672e-05
0.07894384588 0.00042651765427 1.45903600271e-05
0.0824512307706 0.000330568871151 1.19608817006e-05
0.085958454918 0.000254298616701 9.82111271573e-06
0.0877120019634 0.00021992496213 8.21887338333e-06
0.0912189669505 0.00021199287136 7.84474319551e-06
0.0947257645527 0.000198574964539 7.27830293401e-06
0.0982323670312 0.00017916145203 6.66656040085e-06
0.101738778001 0.000153100808979 5.90053320029e-06
0.105245001075 0.000114005068001 4.80819578528e-06
0.10875100852 6.76918864856e-05 3.48372778804e-06
0.112256803949 4.06606984793e-05 2.62375249489e-06
0.115762390976 3.28676149569e-05 2.31881036383e-06
0.11926774187 2.95228084675e-05 2.15399229747e-06
0.122772860246 3.23913979469e-05 1.8992463348e-06
0.126277749716 3.09876745725e-05 1.81355315676e-06
0.129782382555 2.42484734096e-05 1.57716199275e-06
0.133286762378 1.47861097648e-05 1.26870943892e-06
0.136790882352 6.23982778416e-06 9.52857497243e-07
0.140294746087 1.09761521679e-06 7.30239655721e-07
0.143798325868 1.50404882139e-06 7.11830146255e-07
0.147301625308 2.93434287529e-06 7.35852322698e-07
0.150804648016 4.51192286786e-06 7.70369721902e-07
0.153431714652 3.12079925072e-06 6.26953422564e-07
0.157809783719 2.158056109e-06 5.84996709635e-07
0.162187382508 7.18247785629e-07 5.17178915755e-07
0.16656447681 6.50680289758e-07 5.02305070239e-07
0.170941074162 2.26809039158e-06 5.4292145123e-07
0.175317140363 2.07607828253e-06 5.25332319797e-07
0.17969267252 1.19595608436e-06 4.91422993626e-07
0.184067657302 -2.72858308135e-07 4.41935037347e-07
0.188442102241 -2.82315067036e-07 4.36056923365e-07
0.192815952293 -1.52327792353e-07 4.24395968762e-07
0.197189214996 1.91798683235e-06 4.75620548766e-07
0.201561877028 2.03627990319e-06 4.65526166047e-07
0.205933925068 1.64197303137e-06 4.43185389853e-07
0.210305366642 9.1901582612e-07 4.18617933914e-07
0.214676146744 7.68109967487e-07 4.06559547747e-07
0.219046272907 5.58057878537e-07 3.88536991896e-07
0.223415731818 1.46105425631e-06 3.26589216598e-07
0.227784510168 1.51590231131e-06 3.22479865521e-07
0.232152615474 7.66854364661e-07 2.9981514893e-07
0.236519992775 1.15639602682e-06 3.03499666893e-07
0.240886649596 6.48775288743e-07 2.88910986527e-07
0.245252572636 7.88198151633e-07 2.87556942333e-07
0.249617748595 8.49305913203e-07 2.8578786991e-07
0.253982184986 3.59778823723e-07 2.73706939107e-07
0.258345826892 -1.44466729013e-07 2.60938413973e-07
